id_inmueble,Superficie construida,Superficie útil,Habitaciones,Baños,Terraza,Balcón,Plaza de garaje,Estado,Armarios empotrados,Calefacción,Orientación,Calefacción individual,Consumo,Emisiones,Barrio,Distrito,Precio,Calefacción central,3
102784945,187.0,,3 habitaciones,4 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,,,,,,Barrio La Xerea,Distrito Ciutat Vella,1950000,Gas,
97090574,160.0,156.0,,,,,,Segunda mano/buen estado,,No dispone de calefacción,Orientación sur,,,,,Distrito Ciutat Vella,540000,,València
104174798,143.0,,4 habitaciones,2 baños,,,Plaza de garaje por 17.000 € adicionales,Segunda mano/buen estado,,,Orientación sur,,999 kWh/m² año,99 kg CO2/m² año,Barrio Aiora,Distrito Camins al Grau,335000,,
104979609,134.0,,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,,,,,Barrio La Petxina,Distrito Extramurs,329000,,
100353723,384.0,350.0,5 habitaciones,6 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,,"Orientación sur, oeste",Gas natural,,,,Distrito Ciutat Vella,1400000,,València
102836848,370.0,274.0,6 habitaciones,3 baños,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,Orientación este,,,,,Distrito Ciutat Vella,650000,,València
103127748,135.0,127.0,3 habitaciones,2 baños,,,,Segunda mano/buen estado,,Calefacción individual,,,,,,Distrito Extramurs,410000,,València
97761660,130.0,122.0,4 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,,"Orientación este, oeste",Gas natural,,,Barrio Campanar,Distrito Campanar,427000,,
103826220,120.0,,3 habitaciones,2 baños,,,,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación sur,,,,,Distrito L'Eixample,355000,,València
103962501,161.0,148.0,5 habitaciones,2 baños,,Balcón,,,,,"Orientación sur, este",,999 kWh/m² año,99 kg CO2/m² año,Barrio La Vega Baixa,Distrito Algirós,330000,,
104754310,143.0,134.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje por 26.000 € adicionales,Segunda mano/buen estado,Armarios empotrados,,"Orientación este, oeste",Eléctrica,,,,Distrito L'Olivereta,362000,,València
98337717,265.0,226.0,7 habitaciones,3 baños,,,,Segunda mano/buen estado,,No dispone de calefacción,,,,,,Distrito Ciutat Vella,640000,,València
104214009,226.0,193.0,5 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,,,,,,Distrito Extramurs,500000,,València
102493384,102.0,100.0,2 habitaciones,,,,,Segunda mano/buen estado,Armarios empotrados,,Orientación sur,,,,Barrio El Mercat,Distrito Ciutat Vella,320000,,
102704688,126.0,,3 habitaciones,,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,Orientación oeste,,,,Barrio Sant Francesc,Distrito Ciutat Vella,525000,,
104976643,63.0,,2 habitaciones,,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,"Orientación norte, este",,,,,Distrito Ciutat Vella,129900,,València
104822812,280.0,,3 habitaciones,4 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación sur, este",,,,Barrio Russafa,Distrito L'Eixample,1200000,,
104561593,49.0,,,,,,,Segunda mano/buen estado,Armarios empotrados,Calefacción central,Orientación este,,,,Barrio La Petxina,Distrito Extramurs,165000,,
103421996,125.0,,4 habitaciones,2 baños,Terraza,,,Segunda mano/buen estado,,Calefacción individual,,,,,,Distrito Patraix,335000,,València
104874049,82.0,79.0,3 habitaciones,,,Balcón,,,,,Orientación sur,,186 kWh/m² año,43 kg CO2/m² año,Barrio Mont-Olivet,Distrito Quatre Carreres,125000,,
104174798,143.0,,4 habitaciones,2 baños,,,Plaza de garaje por 17.000 € adicionales,Segunda mano/buen estado,,,Orientación sur,,999 kWh/m² año,99 kg CO2/m² año,Barrio Aiora,Distrito Camins al Grau,335000,,
101459303,73.0,,2 habitaciones,,Terraza,,,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación oeste,,,,,Distrito Patraix,210000,,València
98337717,265.0,226.0,7 habitaciones,3 baños,,,,Segunda mano/buen estado,,No dispone de calefacción,,,,,,Distrito Ciutat Vella,640000,,València
104898247,67.0,65.0,3 habitaciones,,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,,,,,Barrio El Carme,Distrito Ciutat Vella,230000,,
104596025,165.0,150.0,3 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción central,"Orientación sur, este",,,,Barrio Penya-Roja,Distrito Camins al Grau,470000,,
102395066,107.0,101.0,2 habitaciones,,Terraza,,,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,"Orientación este, oeste",,,,,Distrito El Pla del Real,430000,,València
104520011,72.0,,3 habitaciones,,,,,Segunda mano/buen estado,,No dispone de calefacción,,,,,Barrio Marxalenes,Distrito La Saïdia,175000,,
104737914,125.0,100.0,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,Orientación sur,,150 kWh/m² año,50 kg CO2/m² año,Barrio La Llum,Distrito L'Olivereta,189000,,
104923825,90.0,,3 habitaciones,,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación sur, oeste",,,,Barrio Els Orriols,Distrito Rascanya,120000,,
102659584,92.0,80.0,2 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,Calefacción individual,"Orientación este, oeste",,,,,Distrito Quatre Carreres,380000,,València
104976623,63.0,,2 habitaciones,,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,"Orientación norte, este",,,,,Distrito Ciutat Vella,115000,,València
91921632,140.0,130.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,"Orientación norte, sur",,,,,Distrito Ciutat Vella,2400000,,València
101249930,205.0,195.0,5 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,,Armarios empotrados,Calefacción individual,"Orientación sur, este",,,,,Distrito L'Eixample,650000,,València
102679687,172.0,150.0,3 habitaciones,,Terraza,,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,No dispone de calefacción,"Orientación este, oeste",,,,,Distrito Extramurs,400000,,València
101218007,208.0,193.0,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación este, oeste",Gas natural,,,,Distrito Ciutat Vella,980000,,València
104205416,110.0,97.0,4 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,Orientación sur,,,,Barrio El Cabanyal-El Canyamelar,Distrito Poblats Marítims,280000,,
103461312,87.0,84.0,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,,Calefacción individual,"Orientación este, oeste",,,,Barrio L'Amistat,Distrito Algirós,270000,,
104722408,118.0,,3 habitaciones,2 baños,,Balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,,,,999 kWh/m² año,99 kg CO2/m² año,Barrio Albors,Distrito Camins al Grau,475000,,
